age,gender,qx_d,qx_di
20,M,0.001563,0.00059
20,F,0.002015,0.00047
21,M,0.001822,0.00059
21,F,0.002103,0.00046
22,M,0.002053,0.00059
22,F,0.002174,0.00046
23,M,0.002251,0.00059
23,F,0.002227,0.00046
24,M,0.002405,0.00059
24,F,0.00226,0.00046
25,M,0.002508,0.00059
25,F,0.002272,0.00046
26,M,0.002554,0.00059
26,F,0.002259,0.00045
27,M,0.002554,0.00059
27,F,0.002228,0.00045
28,M,0.00252,0.00059
28,F,0.00218,0.00046
29,M,0.002461,0.0006
29,F,0.002123,0.00046
30,M,0.002393,0.00061
30,F,0.00206,0.00047
31,M,0.002325,0.00063
31,F,0.001995,0.00048
32,M,0.00227,0.00065
32,F,0.001936,0.0005
33,M,0.002239,0.00069
33,F,0.001888,0.00053
34,M,0.002246,0.00073
34,F,0.001857,0.00056
35,M,0.002297,0.00078
35,F,0.001847,0.00059
36,M,0.00239,0.00083
36,F,0.001858,0.00063
37,M,0.002518,0.00088
37,F,0.001888,0.00067
38,M,0.002674,0.00094
38,F,0.001932,0.00071
39,M,0.002855,0.00099
39,F,0.001988,0.00075
40,M,0.003049,0.00105
40,F,0.002052,0.00079
41,M,0.003253,0.00112
41,F,0.002121,0.00084
42,M,0.003458,0.00121
42,F,0.002194,0.0009
43,M,0.003656,0.00131
43,F,0.002266,0.00097
44,M,0.003843,0.00143
44,F,0.002336,0.00106
45,M,0.004015,0.00156
45,F,0.002512,0.00115
46,M,0.004177,0.0017
46,F,0.002671,0.00126
47,M,0.00433,0.00185
47,F,0.00284,0.00136
48,M,0.004475,0.002
48,F,0.003021,0.00147
49,M,0.004613,0.00215
49,F,0.003213,0.00157
50,M,0.004746,0.0023
50,F,0.003417,0.00168
51,M,0.004877,0.00245
51,F,0.003861,0.00178
52,M,0.005006,0.0026
52,F,0.004362,0.00189
53,M,0.005135,0.00278
53,F,0.004924,0.00201
54,M,0.005264,0.00298
54,F,0.005551,0.00215
55,M,0.005394,0.00322
55,F,0.006252,0.00232
56,M,0.006056,0.0035
56,F,0.007033,0.00252
57,M,0.006958,0.00383
57,F,0.007903,0.00275
58,M,0.007991,0.00422
58,F,0.008872,0.00303
59,M,0.009178,0.00467
59,F,0.009948,0.00335
60,M,0.010542,0.00518
60,F,0.011143,0.00371
61,M,0.012059,0.00575
61,F,0.012468,0.00412
62,M,0.013796,0.0064
62,F,0.013936,0.00459
63,M,0.015751,0.00713
63,F,0.015559,0.00511
64,M,0.017947,0.00794
64,F,0.017952,0.0057
65,M,0.020409,0.00884
65,F,0.019331,0.00636
66,M,0.023163,0.0098
66,F,0.021513,0.00707
67,M,0.026236,0.01071
67,F,0.023915,0.00775
68,M,0.029657,0.01162
68,F,0.026556,0.00844
69,M,0.033459,0.01253
69,F,0.029457,0.00914
70,M,0.037672,
70,F,0.032639,
